name,symbol,currency,amount,date
RAIT Financial Trust,RFTA,VND,69.85,1606751197000
"Pfizer, Inc.",PFE,PHP,-29.75,1593042675000
Research Frontiers Incorporated,REFR,MXN,-56.83,1600556563000
Gerdau S.A.,GGB,CAD,171.15,1581873917000
Cerus Corporation,CERS,IDR,81.31,1599444808000
"Equifax, Inc.",EFX,RUB,3.80,1601014973000
MFS Multimarket Income Trust,MMT,PLN,-148.48,1595656170000
National Instruments Corporation,NATI,CNY,-48.15,1593104236000
Abeona Therapeutics Inc.,ABEOW,TND,53.45,1593673779000
"First Business Financial Services, Inc.",FBIZ,PLN,-39.11,1602715053000
Sprint Corporation,S,ILS,-184.23,1578631412000
FlexShares Disciplined Duration MBS Index Fund,MBSD,RUB,-51.03,1594189377000
"Synthetic Fixed-Income Securities, Inc.",GJP,CNY,32.41,1588424789000
Nuveen Missouri Quality Municipal Income Fund,NOM,KMF,-100.36,1599318409000
"PGT Innovations, Inc.",PGTI,CNY,-1.47,1597697946000
Washington Prime Group Inc.,WPG,CNY,-70.08,1578363372000
Fair Isaac Corporation,FICO,CNY,88.02,1586350140000
BlackRock Income Trust Inc. (The),BKT,BRL,177.81,1584251547000
Sabre Corporation,SABR,VND,-54.16,1598786853000
D/B/A Chubb Limited New,CB,PEN,-38.71,1601358904000
"Esperion Therapeutics, Inc.",ESPR,IDR,194.73,1584915268000
Regions Financial Corporation,RF^B,PEN,184.23,1607702770000
"Old Line Bancshares, Inc.",OLBK,CNY,-16.28,1586138696000
Titan Machinery Inc.,TITN,CNY,-174.14,1593434531000
"Mesa Laboratories, Inc.",MLAB,RUB,-34.93,1609001583000
Select Asset Inc.,JBR,THB,74.56,1596924927000
Dean Foods Company,DF,PHP,100.98,1602558370000
Federal Agricultural Mortgage Corporation,AGM^B,USD,20.80,1598812465000
iPath US Treasury Long Bond Bull ETN,DLBL,JMD,-116.09,1599017354000
BioLineRx Ltd.,BLRX,TZS,24.89,1607371456000
Itau Unibanco Banco Holding SA,ITUB,EUR,-1.47,1608034773000
"Tortoise Pipeline & Energy Fund, Inc.",TTP,CNY,161.39,1591388036000
"Intuitive Surgical, Inc.",ISRG,RUB,149.09,1591789289000
"FCB Financial Holdings, Inc.",FCB,CAD,38.01,1577889763000
"NexPoint Residential Trust, Inc.",NXRT,COP,-124.43,1608753769000
Terex Corporation,TEX,ILS,41.53,1592782242000
Sunoco LP,SUN,IDR,60.82,1591259454000
Performant Financial Corporation,PFMT,MXN,101.91,1587468899000
Ellington Residential Mortgage REIT,EARN,EUR,-16.29,1599405422000
UTStarcom Holdings Corp,UTSI,HNL,84.19,1585659688000
Capitala Finance Corp.,CLA.CL,THB,-191.63,1605639418000
Pingtan Marine Enterprise Ltd.,PME,IDR,129.06,1602924458000
"Connecticut Water Service, Inc.",CTWS,JPY,-21.01,1606132048000
ContraVir Pharmaceuticals Inc,CTRV,EUR,127.91,1604867082000
Legg Mason Low Volatility High Dividend ETF,LVHD,BDT,97.31,1591249430000
Vina Concha Y Toro,VCO,USD,178.71,1588613325000
Arlington Asset Investment Corp,AI^B,CNY,96.82,1585605271000
"MEI Pharma, Inc.",MEIP,CNY,-148.86,1606199172000
OGE Energy Corporation,OGE,CAD,-168.11,1603096482000
Public Storage,PSA^Y,VND,176.90,1591299254000
"HopFed Bancorp, Inc.",HFBC,CNY,110.73,1609219108000
Resource Capital Corp.,RSO,PLN,-178.79,1581717380000
"Kimball International, Inc.",KBAL,CNY,106.79,1587800108000
Kaiser Aluminum Corporation,KALU,SRD,-157.98,1590919767000
Nuveen California Municipal Value Fund 2,NCB,CNY,194.42,1606025272000
Ares Capital Corporation,AFC,MXN,-199.73,1578667615000
"Digital Realty Trust, Inc.",DLR,EUR,151.05,1594656472000
"Casella Waste Systems, Inc.",CWST,BRL,159.50,1601362404000
West Bancorporation,WTBA,GNF,-174.77,1581836274000
ObsEva SA,OBSV,CNY,-50.84,1608633270000
Inphi Corporation,IPHI,PHP,34.73,1586264187000
Tronox Limited,TROX,VEF,-72.64,1590424347000
Kadant Inc,KAI,CNY,191.28,1579384333000
"Ulta Beauty, Inc.",ULTA,EUR,111.68,1603125231000
Microchip Technology Incorporated,MCHP,ARS,164.73,1609036455000
Pope Resources,POPE,PLN,20.33,1578790091000
Taiwan Semiconductor Manufacturing Company Ltd.,TSM,IDR,25.17,1587027223000
"Revolution Lighting Technologies, Inc.",RVLT,CNY,31.64,1605208495000
"Westbury Bancorp, Inc.",WBB,USD,-33.23,1605485473000
"Alphatec Holdings, Inc.",ATEC,CNY,-77.80,1593932529000
"First Industrial Realty Trust, Inc.",FR,PHP,-99.98,1603343970000
"Sally Beauty Holdings, Inc.",SBH,EUR,176.24,1597797364000
"Citizens, Inc.",CIA,CNY,185.35,1595313051000
First Trust Alternative Absolute Return Strategy ETF,FAAR,EGP,-182.93,1598336254000
National Energy Services Reunited Corp.,NESRW,UAH,89.50,1604839271000
First Trust United Kingdom AlphaDEX Fund,FKU,MVR,-148.82,1606059447000
Pacific Premier Bancorp Inc,PPBI,CNY,-135.82,1594081457000
Origo Acquisition Corporation,OACQW,RSD,-14.37,1594152398000
First Trust Municipal CEF Income Opportunity ETF,MCEF,CNY,120.03,1596198944000
JMP Group LLC,JMP,XOF,-45.63,1601891935000
First Trust Emerging Markets AlphaDEX Fund,FEM,CLP,79.10,1585361743000
First Trust United Kingdom AlphaDEX Fund,FKU,ALL,86.55,1605414396000
"Tootsie Roll Industries, Inc.",TR,CZK,-41.00,1582581359000
Amaya Inc.,AYA,BGN,67.93,1586201729000
Chimera Investment Corporation,CIM^B,EUR,43.81,1579736157000
"Recon Technology, Ltd.",RCON,BRL,-189.23,1577859934000
Monmouth Real Estate Investment Corporation,MNR,BSD,-13.06,1601875235000
"Juniper Networks, Inc.",JNPR,CNY,-192.92,1597577726000
Electrum Special Acquisition Corporation,ELECU,ZMW,-94.71,1595148685000
Western Asset High Yield Defined Opportunity Fund Inc.,HYI,VND,153.21,1606233210000
SandRidge Mississippian Trust II,SDR,GTQ,-110.47,1594022486000
"Syndax Pharmaceuticals, Inc.",SNDX,MZN,65.24,1579918816000
Star Bulk Carriers Corp.,SBLK,PHP,-127.89,1578191742000
Therapix Biosciences Ltd.,TRPX,IDR,3.73,1583319627000
Ampco-Pittsburgh Corporation,AP,CNY,-115.10,1594809612000
Ocean Rig UDW Inc.,ORIG,CNY,2.15,1584511059000
Tiptree Inc.,TIPT,CNY,94.22,1608535997000
New Media Investment Group Inc.,NEWM,RUB,-174.56,1588897680000
TCP Capital Corp.,TCPC,RUB,109.98,1586970940000
Pingtan Marine Enterprise Ltd.,PME,PLN,190.09,1597580670000
"Aoxin Tianli Group, Inc.",ABAC,IDR,-78.06,1601013348000
"Cellectar Biosciences, Inc.",CLRBW,IDR,-192.14,1579773121000
Blackrock New York Municipal Income Quality Trust,BSE,JPY,77.02,1579605129000
"Iconix Brand Group, Inc.",ICON,RUB,163.85,1578118157000
"Midland States Bancorp, Inc.",MSBI,CAD,118.62,1583593121000
Saratoga Investment Corp,SAR,CNY,-58.30,1595352386000
GGP Inc.,GGP^A,MAD,126.87,1596309555000
"Blackrock MuniYield Fund, Inc.",MYD,MAD,64.23,1590222504000
"StealthGas, Inc.",GASS,PKR,21.69,1584397959000
Patheon N.V.,PTHN,MXN,-143.90,1595679593000
"Assembly Biosciences, Inc.",ASMB,CNY,-95.15,1602177167000
"Sonic Automotive, Inc.",SAH,EUR,-15.64,1599836316000
"Stericycle, Inc.",SRCL,EUR,65.34,1598142809000
"Southwest Gas Holdings, Inc.",SWX,RUB,153.81,1591999784000
Novelion Therapeutics Inc. ,NVLN,SEK,86.21,1580643537000
Public Storage,PSA^W,PHP,17.90,1592911271000
"j2 Global, Inc.",JCOM,DOP,-109.92,1586374934000
Vonage Holdings Corp.,VG,EUR,-60.65,1603996672000
"Teligent, Inc.",TLGT,CNY,-90.18,1588805468000
Eaton Vance Tax-Advantaged Bond,EXD,EUR,143.50,1578721465000
Ally Financial Inc.,ALLY,IDR,-72.33,1595186296000
"Iteris, Inc.",ITI,MRO,-159.75,1595269552000
AllianceBernstein Holding L.P.,AB,CNY,190.41,1580633035000
"Liberty All-Star Growth Fund, Inc.",ASG,BRL,120.61,1587566623000
Capitol Acquisition Corp. III,CLACU,EUR,-19.83,1609155991000
West Corporation,WSTC,CAD,-4.45,1607537045000
"Computer Task Group, Incorporated",CTG,PEN,-112.28,1579098239000
Molina Healthcare Inc,MOH,CZK,174.83,1585330997000
Pool Corporation,POOL,SEK,-65.68,1582261514000
"CSG Systems International, Inc.",CSGS,RUB,-162.15,1604686478000
United States Cellular Corporation,UZB,CUP,165.04,1593333093000
Mechel PAO,MTL,PLN,-57.65,1583544631000
"Prudential Financial, Inc.",PFK,EUR,-143.92,1589995833000
State Street Corporation,STT^G,IDR,195.06,1597406071000
"Lilis Energy, Inc.",LLEX,USD,190.72,1597817012000
Taiwan Semiconductor Manufacturing Company Ltd.,TSM,BRL,120.24,1605197379000
Stonegate Bank,SGBK,EUR,3.03,1605703664000
Kimco Realty Corporation,KIM^J,NGN,-12.73,1598266172000
"Intrawest Resorts Holdings, Inc.",SNOW,PHP,-184.45,1582066310000
"Athenex, Inc.",ATNX,IDR,19.73,1606015970000
"Discovery Communications, Inc.",DISCK,CNY,88.42,1583135673000
Nexvet Biopharma plc,NVET,BRL,-39.69,1587185183000
Ultra Petroleum Corp.,UPL,CNY,7.44,1605732881000
"The Meet Group, Inc.",MEET,PHP,76.83,1603716022000
iShares Morningstar Mid-Cap ETF,JKI,CAD,-108.48,1579123825000
"Thai Fund, Inc. (The)",TTF,BAM,114.11,1598142095000
Strongbridge Biopharma plc,SBBP,CNY,-93.02,1601745400000
Vaalco Energy Inc,EGY,PHP,-29.57,1589682710000
Aon plc,AON,CNY,92.54,1585127709000
China Yuchai International Limited,CYD,AED,-41.08,1590939349000
"Digital Turbine, Inc.",APPS,EUR,83.97,1587168390000
Modern Media Acquisition Corp.,MMDMR,RUB,56.55,1608378354000
First Trust Strategic Income ETF,FDIV,CNY,191.56,1598335140000
Union Bankshares Corporation,UBSH,CNY,111.88,1597013562000
"United Financial Bancorp, Inc. ",UBNK,THB,-70.00,1581804148000
"Agios Pharmaceuticals, Inc.",AGIO,CNY,66.32,1601406549000
Westpac Banking Corporation,WBK,IDR,-17.20,1593718106000
"Ottawa Bancorp, Inc.",OTTW,USD,91.30,1600994818000
"Intersections, Inc.",INTX,IDR,-69.61,1605318080000
Credit Acceptance Corporation,CACC,BRL,-83.48,1600554813000
La Jolla Pharmaceutical Company,LJPC,MMK,146.55,1603788454000
"CGI Group, Inc.",GIB,PLN,-142.05,1594783644000
Old Point Financial Corporation,OPOF,IDR,54.93,1578500688000
Gilat Satellite Networks Ltd.,GILT,EUR,-119.80,1596657491000
Nuveen Michigan Quality Municipal Income Fund,NUM,PLN,52.02,1587672492000
Sears Holdings Corporation,SHLDW,CNY,60.67,1581521704000
World Acceptance Corporation,WRLD,EUR,-23.38,1598034469000
Gladstone Capital Corporation,GLAD,CNY,197.93,1600043245000
Banco Bilbao Viscaya Argentaria S.A.,BBVA,ARS,-136.41,1587430179000
"Live Oak Bancshares, Inc.",LOB,TZS,24.30,1586625092000
"Ardelyx, Inc.",ARDX,PLN,96.03,1589973043000
Microsoft Corporation,MSFT,ILS,148.49,1597824849000
Pan American Silver Corp.,PAAS,SEK,-106.61,1603675067000
"Vectrus, Inc.",VEC,CRC,65.05,1594902634000
"Simon Property Group, Inc.",SPG^J,KZT,-56.77,1591167237000
FIRST REPUBLIC BANK,FRC^F,NGN,11.78,1593983412000
"Tenax Therapeutics, Inc.",TENX,CAD,104.36,1588957448000
Phillips 66,PSX,IDR,70.38,1581515362000
Allstate Corporation (The),ALL^B,USD,-64.55,1582286390000
iShares S&P Global Timber & Forestry Index Fund,WOOD,CNY,177.43,1582276260000
CBRE Clarion Global Real Estate Income Fund,IGR,SYP,-41.38,1599850954000
"OneBeacon Insurance Group, Ltd.",OB,PHP,-74.96,1591645745000
Kyocera Corporation,KYO,CNY,-175.11,1596488568000
Foresight Autonomous Holdings Ltd.,FRSX,THB,120.48,1594534219000
"Arrow Electronics, Inc.",ARW,PLN,0.96,1607517016000
"Seattle Genetics, Inc.",SGEN,IDR,112.70,1599099695000
"Western Asset High Income Opportunity Fund, Inc.",HIO,ILS,-80.26,1600903355000
"Ascent Capital Group, Inc.",ASCMA,EUR,-53.42,1596259879000
Western Asset/Claymore U.S. Treasury Inflation Prot Secs Fd,WIA,COP,-61.33,1609294209000
"Deswell Industries, Inc.",DSWL,PHP,106.07,1606442934000
Criteo S.A.,CRTO,PKR,181.82,1604787058000
Retail Opportunity Investments Corp.,ROIC,PLN,44.61,1602473383000
Nuveen Preferred and Income Term Fund,JPI,GTQ,-93.39,1593282117000
"First Interstate BancSystem, Inc.",FIBK,MXN,-190.80,1602110602000
"American Financial Group, Inc.",AFW.CL,MKD,-139.69,1599452064000
"Orexigen Therapeutics, Inc.",OREX,IDR,-103.25,1592860629000
Concho Resources Inc.,CXO,RUB,86.60,1587577792000
"AAON, Inc.",AAON,SEK,-94.85,1581120055000
"Herman Miller, Inc.",MLHR,NIO,-141.43,1590953640000
"American Renal Associates Holdings, Inc",ARA,CZK,-160.78,1589734610000
"Asia Tigers Fund, Inc. (The)",GRR,BSD,-11.81,1587136407000
Arthur J. Gallagher & Co.,AJG,EUR,-66.33,1608807859000
"Myriad Genetics, Inc.",MYGN,EUR,178.71,1581670938000
"Dynex Capital, Inc.",DX^A,BGN,180.62,1601194063000
Omnicom Group Inc.,OMC,CNY,-97.09,1602916181000
"Perfumania Holdings, Inc",PERF,EUR,-139.44,1603264144000
"Del Frisco's Restaurant Group, Inc.",DFRG,HRK,-53.89,1601484979000
"Community First Bancshares, Inc.",CFBI,IRR,152.20,1587835979000
"Shineco, Inc.",TYHT,BRL,27.77,1601287651000
Bank of America Corporation,BML^I,IDR,114.89,1603459960000
"Sunworks, Inc.",SUNW,EUR,13.12,1590319653000
"Ulta Beauty, Inc.",ULTA,IDR,105.74,1598537585000
Zix Corporation,ZIXI,CNY,-184.85,1595558937000
Pitney Bowes Inc.,PBI,EUR,-74.64,1608690162000
"Copa Holdings, S.A.",CPA,EUR,72.72,1596523089000
LaSalle Hotel Properties,LHO^I,AFN,183.62,1604120307000
WEX Inc.,WEX,AFN,178.82,1584650800000
China Rapid Finance Limited,XRF,TJS,-46.04,1588660442000
StoneCastle Financial Corp,BANX,IDR,145.40,1595765755000
Kimco Realty Corporation,KIM^K,NGN,79.92,1600376107000
Allergan plc.,AGN,PHP,80.20,1594171105000
IRIDEX Corporation,IRIX,USD,144.91,1588767955000
Tecogen Inc.,TGEN,CNY,75.60,1602801985000
"Spartan Motors, Inc.",SPAR,ETB,-31.16,1580567417000
Ferrari N.V.,RACE,CNY,79.59,1592328449000
Pacific Special Acquisition Corp.,PAACW,VND,177.26,1594698624000
NXT-ID Inc.,NXTD,PHP,184.36,1596170982000
Gabelli NextShares Trust,MOGLC,RUB,95.60,1589297705000
Western Asset Bond Fund,WEA,EUR,51.10,1591661790000
Urstadt Biddle Properties Inc.,UBP^F,CNY,-35.45,1592643774000
"Himax Technologies, Inc.",HIMX,BRL,126.98,1605818823000
"Kayne Anderson Energy Total Return Fund, Inc.",KYE,SEK,86.36,1580701220000
PowerShares DWA Energy Momentum Portfolio,PXI,PGK,161.00,1605895147000
Pope Resources,POPE,THB,136.48,1601863891000
Novanta Inc.,NOVT,GTQ,33.32,1592782101000
Prana Biotechnology Ltd,PRAN,VND,-121.86,1580115911000
"Synthetic Fixed-Income Securities, Inc.",GJV,CNY,95.04,1601631752000
Ultrapar Participacoes S.A.,UGP,NOK,87.76,1600539826000
Buckeye Partners L.P.,BPL,NIO,198.34,1586617142000
Finisar Corporation,FNSR,SEK,175.92,1598668982000
Kohl's Corporation,KSS,MAD,1.17,1578132459000
Kraton Corporation,KRA,CUP,133.52,1585516776000
United States Cellular Corporation,UZA,MGA,-112.85,1590809254000
"Twenty-First Century Fox, Inc.",FOX,CNY,62.30,1594566322000
"Mitcham Industries, Inc.",MIND,UAH,121.63,1579186930000
Erie Indemnity Company,ERIE,IDR,37.36,1583311229000
"XPO Logistics, Inc.",XPO,PHP,118.50,1607949915000
"Corbus Pharmaceuticals Holdings, Inc.",CRBP,CNY,-87.29,1581931803000
First Trust RiverFront Dynamic Asia Pacific ETF,RFAP,GTQ,-184.01,1587126319000
"USA Technologies, Inc.",USAT,PKR,9.44,1604692544000
Chimera Investment Corporation,CIM,IDR,-178.04,1608060468000
Landmark Infrastructure Partners LP,LMRK,LRD,7.05,1580889418000
Vanguard Short-Term Inflation-Protected Securities Index Fund,VTIP,MXN,96.91,1594913685000
WisdomTree Negative Duration High Yield Bond Fund,HYND,NGN,181.98,1587079666000
NVIDIA Corporation,NVDA,USD,-4.61,1579900026000
Walt Disney Company (The),DIS,UZS,-100.39,1589093377000
Aegon NV,AEG,CNY,121.87,1587085988000
Sears Holdings Corporation,SHLDW,KZT,-49.11,1593094403000
Hudbay Minerals Inc.,HBM,JMD,23.49,1593150901000
"PRGX Global, Inc.",PRGX,EUR,-92.59,1580922288000
Washington Prime Group Inc.,WPG^H,EUR,177.35,1580800029000
"Hostess Brands, Inc.",TWNKW,NOK,99.50,1601572187000
Orrstown Financial Services Inc,ORRF,EUR,-93.79,1599685403000
"Summit Financial Group, Inc.",SMMF,IDR,-141.28,1594673039000
Darling Ingredients Inc.,DAR,EUR,159.99,1606600585000
"Enzo Biochem, Inc.",ENZ,PHP,-56.10,1581170706000
Cerus Corporation,CERS,CAD,-88.07,1607983807000
"Microvision, Inc.",MVIS,CAD,140.11,1601098110000
PowerShares 1-30 Laddered Treasury Portfolio,PLW,CZK,59.67,1607589781000
PowerShares DWA Industrials Momentum Portfolio,PRN,EUR,17.76,1588941070000
Investors Real Estate Trust,IRET,SEK,76.98,1597301523000
"Delta Air Lines, Inc.",DAL,IDR,-18.30,1589709316000
Independent Bank Corporation,IBCP,PHP,-106.39,1596083848000
Saratoga Investment Corp,SAB,CZK,143.29,1583925284000
"TESARO, Inc.",TSRO,CZK,145.95,1598248217000
"Conifer Holdings, Inc.",CNFR,EUR,-96.74,1585258679000
Haemonetics Corporation,HAE,IDR,66.08,1601499761000
Arc Logistic Partners LP,ARCX,IDR,-66.12,1580338145000
Ingredion Incorporated,INGR,EUR,172.92,1598252870000
"Loral Space and Communications, Inc.",LORL,JPY,-4.69,1606203108000
"EOG Resources, Inc.",EOG,BRL,-130.95,1608132890000
"Insys Therapeutics, Inc.",INSY,IDR,-46.94,1594765621000
Flaherty & Crumrine Preferred Securities Income Fund Inc,FFC,SEK,7.86,1578739817000
China Telecom Corp Ltd,CHA,CNY,17.78,1608534784000
"Nasdaq, Inc.",NDAQ,PHP,-30.77,1591660301000
Pegasystems Inc.,PEGA,PEN,-181.48,1600883642000
"Skechers U.S.A., Inc.",SKX,EUR,-158.02,1604161163000
"Exactech, Inc.",EXAC,CNY,34.83,1604444448000
"Alexander & Baldwin Holdings, Inc.",ALEX,BRL,76.67,1609005880000
RadiSys Corporation,RSYS,CNY,-119.08,1579356663000
Eversource Energy,ES,HNL,29.72,1580393521000
"Shake Shack, Inc.",SHAK,EUR,-173.89,1595811947000
"Build-A-Bear Workshop, Inc.",BBW,CNY,39.73,1592284334000
TCF Financial Corporation,TCF^C,EUR,-64.43,1578593084000
"Corium International, Inc.",CORI,CNY,-110.14,1586454022000
Canterbury Park Holding Corporation,CPHC,NOK,-194.39,1600017489000
iRobot Corporation,IRBT,PHP,-33.16,1580024522000
Arconic Inc.,ARNC,BRL,117.34,1605102164000
BioMarin Pharmaceutical Inc.,BMRN,CNY,147.15,1605350436000
"Blackrock MuniAssets Fund, Inc.",MUA,CAD,-176.30,1597946315000
"Peak Resorts, Inc.",SKIS,CNY,114.31,1605872264000
Sociedad Quimica y Minera S.A.,SQM,MYR,133.19,1606816567000
TravelCenters of America LLC,TA,CNY,-35.73,1597250219000
Brixmor Property Group Inc.,BRX,CNY,-103.44,1581574048000
Valley National Bancorp,VLY.WS,USD,-77.74,1608120581000
"Discovery Communications, Inc.",DISCB,CNY,42.63,1603616165000
National Retail Properties,NNN^E,AMD,-66.46,1604427344000
"ARI Network Services, Inc.",ARIS,VND,-29.81,1583167860000
"TRC Companies, Inc.",TRR,EUR,135.67,1585694971000
ENSCO plc,ESV,RSD,-79.49,1601219940000
Allot Communications Ltd.,ALLT,PLN,29.70,1605665231000
PIMCO Municipal Income Fund III,PMX,IDR,-167.11,1589395472000
Fiat Chrysler Automobiles N.V.,FCAU,CNY,187.19,1603824099000
CBO (Listing Market - NYSE - Networks A/E),CBO,PHP,20.16,1600596569000
Federated National Holding Company,FNHC,IDR,157.92,1583045965000
First Internet Bancorp,INBK,THB,-145.07,1598853017000
Ciena Corporation,CIEN,HUF,-17.46,1589554707000
FlexShares US Quality Large Cap Index Fund,QLC,IDR,96.02,1597580832000
"BlackRock, Inc.",BLK,CNY,-52.67,1585653874000
State Bank Financial Corporation.,STBZ,SEK,79.93,1594461894000
Kimberly-Clark Corporation,KMB,IDR,22.54,1588843935000
Chevron Corporation,CVX,BRL,157.18,1596964719000
"Kona Grill, Inc.",KONA,UAH,-145.35,1602556488000
"Maiden Holdings, Ltd.",MH^C,EUR,-129.39,1608721240000
"Ventas Realty, Limited Partnership // Ventas Capital Corporati",VTRB,PEN,13.90,1598511717000
General Electric Capital Corporation,GEK,CAD,3.61,1603891842000
Myovant Sciences Ltd.,MYOV,USD,175.75,1588097613000
Naked Brand Group Inc.,NAKD,EUR,-151.46,1592382392000
"Mueller Industries, Inc.",MLI,XOF,-99.17,1599492573000
"First Mid-Illinois Bancshares, Inc.",FMBH,CNY,-15.04,1591799177000
"A V Homes, Inc.",AVHI,PLN,138.62,1584998712000
"The Trade Desk, Inc.",TTD,IDR,90.86,1584270187000
"Penumbra, Inc.",PEN,EUR,161.69,1605943233000
Bank of America Corporation,BAC.WS.A,RUB,-166.94,1606464770000
Tennessee Valley Authority,TVE,CNY,-48.04,1603993712000
Aegion Corp,AEGN,BRL,-37.09,1585016018000
"Poage Bankshares, Inc.",PBSK,IRR,59.53,1592884594000
"Weyco Group, Inc.",WEYS,EUR,-176.79,1602581450000
"Parsley Energy, Inc.",PE,EUR,182.50,1582676027000
Pacific Continental Corporation (Ore),PCBK,CNY,112.88,1594620768000
Sohu.com Inc.,SOHU,USD,59.98,1592735960000
"Ringcentral, Inc.",RNG,CNY,118.82,1589348992000
"Waste Connections, Inc.",WCN,NZD,-167.09,1592899537000
"Cellectar Biosciences, Inc.",CLRBW,KGS,-138.08,1593902077000
GrubHub Inc.,GRUB,PEN,197.82,1601820802000
"WesBanco, Inc.",WSBC,PHP,42.03,1596131631000
Whiting Petroleum Corporation,WLL,HNL,-126.31,1600132273000
Greif Bros. Corporation,GEF.B,JPY,45.51,1586657476000
Vertex Pharmaceuticals Incorporated,VRTX,IDR,136.07,1583819238000
"Cypress Energy Partners, L.P.",CELP,PYG,-43.20,1597649032000
Global X SuperDividend REIT ETF,SRET,EUR,-174.82,1583028850000
Aptevo Therapeutics Inc.,APVO,MXN,-76.16,1578207233000
"New Ireland Fund, Inc. (The)",IRL,CZK,-176.44,1606646021000
Fang Holdings Limited,SFUN,ZAR,176.96,1597990412000
"Stericycle, Inc.",SRCL,IDR,57.56,1608357825000
Modern Media Acquisition Corp.,MMDMU,BRL,137.53,1605222498000
"Boston Private Financial Holdings, Inc.",BPFHP,MAD,37.86,1609208575000
"Stage Stores, Inc.",SSI,MXN,-150.86,1581748844000
iShares FTSE EPRA/NAREIT Global Real Estate ex-U.S. Index Fund,IFGL,CNY,69.80,1599173097000
"UMH Properties, Inc.",UMH^B,BRL,-153.32,1582450235000
Sabre Corporation,SABR,SEK,143.16,1602653815000
"JAKKS Pacific, Inc.",JAKK,EUR,60.37,1597515441000
Invitae Corporation,NVTA,CNY,51.36,1591061619000
"Chart Industries, Inc.",GTLS,CNY,113.73,1603962312000
Patheon N.V.,PTHN,MKD,-50.36,1593107523000
"Jason Industries, Inc.",JASNW,GTQ,-153.56,1604458664000
R.R. Donnelley & Sons Company,RRD,ALL,140.96,1607031409000
"Minerva Neurosciences, Inc",NERV,MDL,-99.34,1603601789000
"Spark Therapeutics, Inc.",ONCE,PHP,-43.52,1585672405000
"The Bancorp, Inc.",TBBK,CNY,-192.50,1607849900000
Franco-Nevada Corporation,FNV,PEN,190.49,1600345214000
Amedica Corporation,AMDA,CNY,-65.72,1607657062000
Liberty Global plc,LBTYK,NOK,51.54,1596117954000
"Manhattan Bridge Capital, Inc",LOAN,CNY,-48.38,1587225089000
Gabelli Multi-Media Trust Inc. (The),GGT^B,UAH,107.05,1593721860000
"New Germany Fund, Inc. (The)",GF,RSD,138.68,1600672178000
Diana Shipping inc.,DSX,CNY,166.35,1607908317000
"Midland States Bancorp, Inc.",MSBI,ARS,-77.50,1597650999000
VictoryShares Dividend Accelerator ETF,VSDA,CNY,46.22,1600941409000
trivago N.V.,TRVG,CNY,186.85,1589730965000
Jones Lang LaSalle Incorporated,JLL,NGN,-18.56,1579824833000
"PHI, Inc.",PHII,IDR,98.43,1583173513000
Luna Innovations Incorporated,LUNA,IDR,13.04,1584942104000
"Goldman Sachs Group, Inc. (The)",GS^N,RUB,28.89,1578078647000
Rent-A-Center Inc.,RCII,PHP,179.08,1592666575000
"FormFactor, Inc.",FORM,DOP,-12.17,1603203214000
CYREN Ltd.,CYRN,CNY,-167.44,1580027977000
"WideOpenWest, Inc.",WOW,EUR,-172.97,1585270767000
Pimco Income Opportunity Fund,PKO,PHP,133.68,1607226455000
Ashford Hospitality Trust Inc,AHT^A,JPY,53.58,1603983977000
Cosan Limited,CZZ,PEN,-158.32,1601688121000
"Rudolph Technologies, Inc.",RTEC,THB,-6.50,1583915106000
"Raymond James Financial, Inc.",RJF,IRR,84.01,1603425347000
"Henry Schein, Inc.",HSIC,PEN,-159.29,1591767528000
Janus Henderson Small/Mid Cap Growth Alpha ETF,JSMD,PEN,155.87,1607392724000
"BlackLine, Inc.",BL,EUR,-70.57,1590917449000
New York Times Company (The),NYT,HNL,-77.17,1582756995000
"NetScout Systems, Inc.",NTCT,RUB,179.82,1578235069000
"Stag Industrial, Inc.",STAG^B,CNY,84.79,1604047143000
"Angie's List, Inc.",ANGI,PLN,137.11,1592126550000
First Trust Taiwan AlphaDEX Fund,FTW,EGP,8.95,1588503730000
LINE Corporation,LN,SEK,82.02,1594941502000
Public Storage,PSA^C,CNY,68.61,1588291150000
Kayne Anderson MLP Investment Company,KYN,IDR,126.08,1580040654000
"Del Frisco's Restaurant Group, Inc.",DFRG,CNY,84.42,1596469230000
TAT Technologies Ltd.,TATT,EUR,-21.22,1593770164000
iShares Commodities Select Strategy ETF,COMT,EUR,53.15,1590228145000
Stewardship Financial Corp,SSFN,AZN,-40.40,1601722465000
Cherry Hill Mortgage Investment Corporation,CHMI,PLN,13.50,1589479689000
OM Asset Management plc,OMAM,CNY,164.94,1590578894000
Nuveen Missouri Quality Municipal Income Fund,NOM,LYD,167.47,1587962551000
"Varonis Systems, Inc.",VRNS,KRW,-158.19,1583716660000
"MercadoLibre, Inc.",MELI,IDR,-28.79,1590208378000
BancFirst Corporation,BANF,PHP,-109.79,1588045597000
Enersys,ENS,MKD,-152.84,1584799075000
MannKind Corporation,MNKD,CNY,109.76,1597708826000
Atkore International Group Inc.,ATKR,PLN,45.29,1585050536000
"Kinder Morgan, Inc.",KMI,CNY,46.81,1580116039000
Apollo Commercial Real Estate Finance,ARI,BRL,126.12,1608773548000
"Spark Energy, Inc.",SPKE,PLN,-109.27,1608792679000
